timestamp,node_id,x_m,y_m,panel_id,tilt_roll_deg,tilt_pitch_deg,tilt_magnitude_deg,tilt_rate_deg_per_min,vibration_rms_g,dominant_frequency_hz,displacement_mm,displacement_rate_mm_per_min,crack_event,crack_opening_mm,battery_v,rssi_dbm,packet_loss_rate,label
2026-08-01T00:00:00,N001,0.0,0.0,PANEL_A,0.00071,0.00832,0.00835,0.004651,0.01069,9.4702,0.023,-0.012031,0,0.0,4.137,-82.69,0.0026,normal
2026-08-01T00:05:00,N001,0.0,0.0,PANEL_A,-0.01769,0.02619,0.0316,0.000895,0.01113,10.585,-0.0372,-0.006122,0,0.0,4.155,-78.34,0.0055,normal
2026-08-01T00:10:00,N001,0.0,0.0,PANEL_A,-0.01673,-0.00437,0.01729,-0.000643,0.01366,12.1821,-0.0383,0.004626,0,0.0,4.142,-83.79,0.0148,normal
2026-08-01T00:15:00,N001,0.0,0.0,PANEL_A,-0.02326,0.00964,0.02517,-0.000878,0.00606,9.0854,0.0091,0.008618,0,0.0,4.163,-83.59,0.0042,normal
2026-08-01T00:20:00,N001,0.0,0.0,PANEL_A,-0.0079,0.00317,0.00851,0.00043,0.01129,8.26,0.0479,-0.007112,0,0.0,4.156,-80.26,0.01,normal
2026-08-01T00:25:00,N001,0.0,0.0,PANEL_A,-0.02711,-0.01155,0.02947,0.000159,0.01301,9.9717,-0.062,-0.008855,0,0.0,4.143,-78.21,0.0121,normal
2026-08-01T00:30:00,N001,0.0,0.0,PANEL_A,-0.00964,-0.00299,0.0101,-0.000746,0.01232,10.2607,-0.0406,0.002942,0,0.0,4.172,-81.33,0.0071,normal
2026-08-01T00:35:00,N001,0.0,0.0,PANEL_A,-0.01762,-0.0132,0.02201,0.000581,0.01068,9.6169,-0.0326,0.000326,0,0.0,4.15,-86.62,0.0208,normal
2026-08-01T00:40:00,N001,0.0,0.0,PANEL_A,-0.01362,-0.00821,0.01591,0.000527,0.01078,9.3304,-0.0374,0.008453,0,0.0,4.144,-79.99,0.0114,normal
2026-08-01T00:45:00,N001,0.0,0.0,PANEL_A,-0.02306,0.01458,0.02729,-0.000269,0.01306,11.1125,0.0519,0.011699,0,0.0,4.126,-80.56,0.0135,normal
